Date,Open,High,Low,Close,Adj Close,Volume
2000-11-22,7.171180,7.706340,7.135500,7.527950,5.556158,9266416
2000-11-23,7.420920,7.777690,7.278210,7.777690,5.740483,9632933
2000-11-24,7.777690,8.277180,7.777690,8.277180,6.109141,10009599
2000-11-27,8.277180,8.562600,7.991760,8.562600,6.319801,14852233
2000-11-28,8.419890,8.705310,8.348540,8.491240,6.267133,7901601
2000-11-29,8.277180,8.919370,8.277180,8.848020,6.530461,15787318
2000-11-30,8.705310,8.848020,8.562600,8.740990,6.451466,11629818
2000-12-01,8.491240,8.705310,8.455570,8.633950,6.372464,3564011
2000-12-04,8.562600,8.633950,8.348540,8.348540,6.161810,3624133
2000-12-05,8.348540,8.669630,8.063110,8.669630,6.398797,11007020
2000-12-06,8.633950,8.740990,8.455570,8.598280,6.346136,6456495
2000-12-07,8.562600,8.598280,8.419890,8.526920,6.293468,4023343
2000-12-08,8.526920,8.883700,8.419890,8.669630,6.398797,9245772
2000-12-11,8.776660,8.848020,8.669630,8.776660,6.477793,5254870
2000-12-12,8.776660,8.990730,8.705310,8.812340,6.504128,6863786
2000-12-13,8.883700,9.383180,8.848020,8.990730,6.635792,17928037
2000-12-14,8.919370,9.062090,8.848020,8.990730,6.635792,8138952
2000-12-15,8.848020,8.955050,8.705310,8.705310,6.425131,2540663
2000-12-18,8.205820,8.384210,8.134470,8.170150,6.030145,3346647
2000-12-19,8.170150,8.384210,8.170150,8.348540,6.161810,4029939
2000-12-20,8.348540,8.491240,8.063110,8.063110,5.951143,3566883
2000-12-21,7.813370,7.813370,7.813370,7.813370,5.766818,960360
2000-12-22,7.563630,7.849050,7.563630,7.706340,5.687821,4058920
2000-12-25,null,null,null,null,null,null
2000-12-26,7.849050,7.849050,7.456600,7.634990,5.635160,2570536
2000-12-27,7.492270,7.563630,7.385240,7.420920,5.477161,1366315
2000-12-28,7.492270,7.920400,7.492270,7.849050,5.793152,4840274
2000-12-29,8.027440,8.205820,7.777690,7.813370,5.766818,6533614
2001-01-01,null,null,null,null,null,null
2001-01-02,8.205820,8.384210,8.027440,8.348540,6.161810,6846052
2001-01-03,8.277180,8.562600,8.170150,8.491240,6.267133,7053370
2001-01-04,8.919370,8.990730,8.705310,8.883700,6.556797,13011477
2001-01-05,8.848020,9.204790,8.562600,9.169120,6.767457,15680542
2001-01-08,9.062090,9.169120,8.848020,9.062090,6.688460,9549682
2001-01-09,9.062090,9.169120,8.990730,9.062090,6.688460,10274409
2001-01-10,9.133440,9.525890,9.133440,9.383180,6.925447,24704283
2001-01-11,9.383180,9.418860,8.955050,9.240470,6.820117,13795620
2001-01-12,9.311830,9.311830,8.776660,8.955050,6.609458,6882316
2001-01-15,8.990730,9.133440,8.812340,9.062090,6.688460,5095191
2001-01-16,9.204790,9.561570,9.062090,9.490210,7.004443,19541729
2001-01-17,9.490210,10.132400,9.490210,10.132400,7.478425,56609084
2001-01-18,10.132400,10.774600,9.918340,10.774600,7.952413,44380298
2001-01-19,null,null,null,null,null,null
2001-01-22,null,null,null,null,null,null
2001-01-23,null,null,null,null,null,null
2001-01-24,null,null,null,null,null,null
2001-01-25,null,null,null,null,null,null
2001-01-26,null,null,null,null,null,null
2001-01-29,10.774600,11.416800,10.453500,10.453500,7.715417,33043236
2001-01-30,10.417800,10.703200,9.846990,10.346500,7.636446,16923020
2001-01-31,10.560500,10.631900,10.203800,10.560500,7.794392,18894416
2001-02-01,10.489200,10.703200,10.203800,10.203800,7.531123,10840554
2001-02-02,10.489200,10.560500,10.203800,10.239400,7.557398,13398672
2001-02-05,10.275100,10.275100,9.597250,9.846990,7.267771,8101688
2001-02-06,9.811310,10.168100,9.739960,9.846990,7.267771,8617488
2001-02-07,9.918340,10.061100,9.775630,9.811310,7.241437,7705224
2001-02-08,9.954020,9.989700,9.775630,9.918340,7.320434,4081114
2001-02-09,9.918340,10.275100,9.918340,9.918340,7.320434,10017280
2001-02-12,9.632920,9.918340,9.632920,9.704280,7.162442,6696589
2001-02-13,9.775630,9.918340,9.704280,9.811310,7.241437,6593890
2001-02-14,10.132400,10.239400,9.811310,9.846990,7.267771,12401841
2001-02-15,9.882670,10.061100,9.811310,9.954020,7.346767,6474369
2001-02-16,10.061100,10.061100,9.632920,9.632920,7.109773,6685490
2001-02-19,9.062090,9.597250,9.062090,9.276150,6.846452,4742432
2001-02-20,9.276150,9.632920,9.276150,9.418860,6.951782,5853177
2001-02-21,9.347510,9.490210,9.169120,9.276150,6.846452,2847887
2001-02-22,9.133440,9.347510,9.062090,9.204790,6.793783,4978890
2001-02-23,9.418860,9.490210,9.204790,9.240470,6.820117,5167750
2001-02-26,9.240470,9.418860,9.204790,9.240470,6.820117,3619250
2001-02-27,9.347510,9.454540,9.169120,9.204790,6.793783,4692427
2001-02-28,null,null,null,null,null,null
2001-03-01,9.133440,9.276150,8.990730,8.990730,6.635792,3698464
2001-03-02,8.990730,9.204790,8.955050,8.990730,6.635792,3721219
2001-03-05,8.990730,9.204790,8.990730,9.133440,6.741123,3967150
2001-03-06,9.454540,9.454540,9.062090,9.133440,6.741123,6259241
2001-03-07,9.276150,9.347510,9.169120,9.204790,6.793783,5312959
2001-03-08,9.276150,9.311830,9.062090,9.062090,6.688460,2677235
2001-03-09,9.062090,9.169120,8.955050,9.062090,6.688460,2620168
2001-03-12,8.990730,8.990730,8.740990,8.776660,6.477793,2989339
2001-03-13,8.633950,8.919370,8.633950,8.740990,6.451466,3687366
2001-03-14,null,null,null,null,null,null
2001-03-15,8.705310,8.812340,8.633950,8.740990,6.451466,3854107
2001-03-16,8.776660,9.276150,8.776660,9.204790,6.793783,13784518
2001-03-19,9.276150,9.276150,8.812340,8.848020,6.530461,5320048
2001-03-20,8.955050,8.990730,8.776660,8.812340,6.504128,2829537
2001-03-21,8.705310,9.169120,8.705310,8.919370,6.583123,4723802
2001-03-22,8.776660,8.990730,8.776660,8.812340,6.504128,2835029
2001-03-23,8.919370,9.026410,8.812340,8.848020,6.530461,4875432
2001-03-26,8.883700,8.990730,8.848020,8.919370,6.583123,4135539
2001-03-27,8.919370,9.204790,8.919370,8.990730,6.635792,10844332
2001-03-28,9.133440,9.490210,9.026410,9.347510,6.899120,15489665
2001-03-29,9.418860,9.632920,9.276150,9.276150,6.846452,17711261
2001-03-30,9.276150,9.311830,8.919370,8.919370,6.583123,8340035
2001-04-02,8.919370,9.062090,8.705310,8.740990,6.451466,3688776
2001-04-03,8.633950,8.848020,8.562600,8.562600,6.319801,3689677
2001-04-04,8.491240,8.740990,8.491240,8.562600,6.319801,3655258
2001-04-05,null,null,null,null,null,null
2001-04-06,8.705310,8.776660,8.562600,8.562600,6.319801,4495881
2001-04-09,8.562600,8.562600,8.348540,8.348540,6.161810,3584354
2001-04-10,8.348540,8.491240,8.205820,8.205820,6.056473,3190018
2001-04-11,8.312860,8.348540,8.134470,8.205820,6.056473,3077147
2001-04-12,8.205820,8.277180,8.098790,8.170150,6.030145,2959658
2001-04-13,8.205820,8.455570,8.205820,8.241500,6.082807,4613271
2001-04-16,8.241500,8.241500,8.027440,8.063110,5.951143,1521027
2001-04-17,8.027440,8.098790,7.884730,7.956080,5.872148,1519177
2001-04-18,7.920400,7.991760,7.920400,7.956080,5.872148,1669946
2001-04-19,8.134470,8.241500,8.063110,8.098790,5.977478,3474443
