Date,Open,High,Low,Close,Adj Close,Volume
2002-05-17,8.489810,8.769130,8.462220,8.658780,4.309318,14660424
2002-05-20,8.631190,8.658780,8.434640,8.548430,4.254400,35629045
2002-05-21,8.462220,8.489810,8.103600,8.103600,4.033015,14106056
2002-05-22,8.048420,8.186360,7.965660,8.103600,4.033015,20568008
2002-05-23,8.103600,8.131180,8.048420,8.103600,4.033015,18858086
2002-05-24,8.103600,8.434640,8.103600,8.351880,4.156580,15178082
2002-05-27,8.296700,8.548430,8.186360,8.489810,4.225225,9861044
2002-05-28,8.517400,8.548430,8.269120,8.324290,4.142848,12943586
2002-05-29,8.269120,8.379460,8.158770,8.379460,4.170306,16899174
2002-05-30,8.351880,8.658780,8.324290,8.658780,4.309318,11945511
2002-05-31,8.658780,8.741540,8.489810,8.741540,4.350507,6722109
2002-06-03,8.434640,8.548430,8.269120,8.379460,4.170306,18215400
2002-06-04,8.213940,8.379460,8.213940,8.324290,4.142848,8762950
2002-06-05,8.351880,8.434640,8.241530,8.241530,4.101661,10719730
2002-06-06,8.241530,8.296700,8.213940,8.213940,4.087929,9027364
2002-06-07,8.131180,8.434640,8.103600,8.269120,4.115392,10787295
2002-06-10,8.351880,8.379460,8.186360,8.241530,4.101661,17941410
2002-06-11,8.324290,8.517400,8.269120,8.269120,4.115392,11204403
2002-06-12,8.324290,8.407050,8.269120,8.351880,4.156580,17443967
2002-06-13,8.351880,8.879470,8.324290,8.796710,4.377964,20293481
2002-06-14,8.796710,9.158790,8.686370,8.907060,4.432882,15087105
2002-06-17,8.824300,8.962230,8.741540,8.796710,4.377964,13151074
2002-06-18,8.851890,8.879470,8.517400,8.576020,4.268130,9773259
2002-06-19,8.576020,8.658780,8.462220,8.658780,4.309318,20230172
2002-06-20,8.517400,8.769130,8.489810,8.741540,4.350507,28506320
2002-06-21,8.686370,8.934650,8.603610,8.658780,4.309318,21134611
2002-06-24,8.686370,8.769130,8.576020,8.576020,4.268130,20199314
2002-06-25,8.658780,8.713950,8.351880,8.379460,4.170306,13889522
2002-06-26,8.269120,8.379460,8.048420,8.213940,4.087929,8879994
2002-06-27,8.324290,8.379460,8.048420,8.048420,4.005552,5134020
2002-06-28,8.186360,8.269120,8.103600,8.186360,4.074204,7796795
2002-07-01,8.186360,8.186360,7.934630,8.103600,4.033015,4851611
2002-07-02,8.269120,8.462220,8.213940,8.379460,4.170306,20247195
2002-07-03,8.269120,8.576020,8.213940,8.517400,4.238955,156968054
2002-07-04,8.434640,8.576020,8.379460,8.548430,4.254400,31649511
2002-07-05,8.658780,8.686370,8.269120,8.434640,4.197768,254956043
2002-07-08,8.434640,8.576020,8.434640,8.548430,4.254400,15036565
2002-07-09,8.548430,8.548430,8.324290,8.434640,4.197768,16770426
2002-07-10,8.407050,8.548430,8.351880,8.462220,4.211494,12513709
2002-07-11,8.462220,8.576020,8.324290,8.351880,4.156580,110570331
2002-07-12,8.462220,8.517400,8.351880,8.434640,4.197768,6728492
2002-07-15,8.434640,8.462220,8.296700,8.296700,4.129117,43489685
2002-07-16,8.379460,8.379460,8.158770,8.158770,4.060472,19870524
2002-07-17,8.158770,8.324290,8.131180,8.269120,4.115392,12055106
2002-07-18,8.269120,8.407050,8.186360,8.241530,4.101661,26622961
2002-07-19,8.241530,8.324290,8.186360,8.269120,4.115392,3783161
2002-07-22,8.186360,8.296700,8.076010,8.241530,4.101661,3145787
2002-07-23,8.269120,8.296700,8.048420,8.269120,4.115392,14074667
2002-07-24,8.241530,8.241530,8.020840,8.158770,4.060472,13626170
2002-07-25,8.213940,8.269120,8.048420,8.103600,4.033015,9604610
2002-07-26,8.020840,8.103600,7.965660,8.048420,4.005552,187325282
2002-07-29,8.020840,8.213940,8.020840,8.048420,4.005552,10717070
2002-07-30,8.186360,8.269120,8.076010,8.186360,4.074204,60347364
2002-07-31,8.213940,8.213940,8.048420,8.076010,4.019285,3553911
2002-08-01,8.076010,8.241530,8.048420,8.076010,4.019285,10890507
2002-08-02,8.131180,8.324290,8.076010,8.324290,4.142848,14565723
2002-08-05,8.076010,8.186360,7.993250,8.048420,4.005552,20720696
2002-08-06,8.048420,8.213940,8.048420,8.186360,4.074204,9451386
2002-08-07,8.241530,8.241530,8.103600,8.158770,4.060472,6584315
2002-08-08,8.213940,8.241530,8.076010,8.186360,4.074204,4984522
2002-08-09,8.324290,8.407050,8.269120,8.324290,4.142848,10307412
2002-08-12,8.407050,8.658780,8.407050,8.489810,4.225225,10589916
2002-08-13,8.489810,8.548430,8.324290,8.324290,4.142848,13146286
2002-08-14,8.324290,8.434640,8.269120,8.407050,4.184036,6646029
2002-08-15,8.407050,8.434640,8.269120,8.296700,4.129117,6960456
2002-08-16,8.296700,8.296700,8.076010,8.158770,4.060472,7216359
2002-08-19,8.131180,8.131180,7.993250,7.993250,3.978096,12253552
2002-08-20,7.993250,8.076010,7.824280,7.879450,3.921459,15363226
2002-08-21,7.824280,7.934630,7.686350,7.796690,3.880272,3795132
2002-08-22,7.851870,7.907040,7.631170,7.686350,3.825357,27514631
2002-08-23,7.686350,7.686350,7.686350,7.686350,3.825357,26007940
2002-08-26,7.438070,7.548410,7.382890,7.410480,3.688062,28851071
2002-08-27,7.493240,7.631170,7.438070,7.520830,3.742981,23228654
2002-08-28,7.520830,7.548410,7.382890,7.410480,3.688062,16301713
2002-08-29,7.351860,7.382890,7.269100,7.324270,3.645156,8885313
2002-08-30,7.324270,7.493240,7.296690,7.410480,3.688062,22722700
2002-09-02,7.438070,7.438070,7.296690,7.351860,3.658888,27737016
2002-09-03,7.351860,7.382890,7.186340,7.186340,3.576511,14660424
2002-09-04,6.965640,7.075990,6.882880,6.938060,3.452947,35629045
2002-09-05,6.993230,7.020820,6.800120,6.855300,3.411759,14106056
2002-09-06,6.855300,6.855300,6.855300,6.855300,3.411759,20568008
2002-09-09,6.938060,6.993230,6.882880,6.938060,3.452947,18858086
2002-09-10,6.938060,7.213920,6.910470,7.186340,3.576511,15178082
2002-09-11,7.213920,7.296690,7.075990,7.269100,3.617699,9861044
2002-09-12,7.296690,7.382890,7.213920,7.324270,3.645156,12943586
2002-09-13,7.296690,7.324270,7.158750,7.241510,3.603968,16899174
2002-09-16,7.241510,7.241510,7.075990,7.103580,3.535323,11945511
2002-09-17,7.131160,7.351860,7.048400,7.241510,3.603968,6722109
2002-09-18,7.186340,7.186340,6.938060,6.993230,3.480404,18215400
2002-09-19,6.993230,7.075990,6.938060,7.020820,3.494136,8762950
2002-09-20,6.938060,7.020820,6.855300,6.965640,3.466673,10719730
2002-09-23,7.020820,7.048400,6.882880,6.965640,3.466673,9027364
2002-09-24,6.965640,7.075990,6.938060,6.938060,3.452947,10787295
2002-09-25,6.938060,6.993230,6.855300,6.855300,3.411759,17941410
2002-09-26,6.938060,6.965640,6.855300,6.882880,3.425485,11204403
2002-09-27,6.910470,6.938060,6.603570,6.855300,3.411759,17443967
2002-09-30,6.800120,6.800120,6.631160,6.800120,3.384297,20293481
2002-10-01,6.800120,6.827710,6.631160,6.741500,3.355123,15087105
2002-10-02,6.827710,6.938060,6.769090,6.800120,3.384297,13151074
2002-10-03,6.800120,6.993230,6.686330,6.882880,3.425485,9773259
2002-10-04,6.855300,6.993230,6.855300,6.882880,3.425485,20230172
2002-10-07,6.910470,6.938060,6.741500,6.769090,3.368854,28506320
2002-10-08,6.800120,6.938060,6.800120,6.910470,3.439216,21134611
2002-10-09,6.938060,6.993230,6.827710,6.938060,3.452947,20199314
2002-10-10,6.938060,6.938060,6.938060,6.938060,3.452947,13889522
2002-10-11,6.938060,6.965640,6.741500,6.741500,3.355123,8879994
2002-10-14,6.741500,6.827710,6.686330,6.769090,3.368854,5134020
2002-10-15,6.882880,7.048400,6.855300,6.910470,3.439216,7796795
2002-10-16,6.993230,7.020820,6.800120,6.827710,3.398028,4851611
2002-10-17,6.800120,6.965640,6.741500,6.965640,3.466673,20247195
2002-10-18,7.103580,7.324270,6.965640,7.020820,3.494136,156968054
2002-10-21,7.020820,7.103580,6.938060,6.965640,3.466673,31649511
2002-10-22,7.020820,7.213920,6.965640,7.048400,3.507861,254956043
2002-10-23,7.158750,7.520830,7.103580,7.520830,3.742981,15036565
2002-10-24,7.631170,7.769110,7.576000,7.603590,3.784169,16770426
2002-10-25,7.603590,7.686350,7.465650,7.576000,3.770438,12513709
2002-10-28,7.686350,7.879450,7.658760,7.713930,3.839083,110570331
2002-10-29,7.658760,7.796690,7.631170,7.713930,3.839083,6728492
2002-10-30,7.769110,7.907040,7.576000,7.686350,3.825357,43489685
2002-10-31,7.741520,7.824280,7.631170,7.686350,3.825357,19870524
2002-11-01,7.713930,7.824280,7.382890,7.438070,3.701793,12055106
2002-11-04,7.548410,7.824280,7.548410,7.741520,3.852815,26622961
2002-11-05,7.769110,7.851870,7.741520,7.824280,3.894002,3783161
2002-11-06,7.824280,8.076010,7.824280,7.965660,3.964365,3145787
2002-11-07,8.076010,8.103600,7.879450,8.020840,3.991827,14074667
2002-11-08,7.907040,8.076010,7.907040,8.020840,3.991827,13626170
2002-11-11,8.020840,8.020840,7.493240,7.520830,3.742981,9604610
2002-11-12,7.493240,7.658760,7.493240,7.658760,3.811626,187325282
2002-11-13,7.658760,7.824280,7.548410,7.824280,3.894002,10717070
2002-11-14,7.879450,8.020840,7.824280,7.907040,3.935191,60347364
2002-11-15,8.020840,8.269120,8.020840,8.131180,4.046741,3553911
2002-11-18,8.131180,8.213940,7.769110,7.796690,3.880272,10890507
2002-11-19,7.741520,7.769110,7.465650,7.686350,3.825357,14565723
2002-11-20,7.631170,7.713930,7.548410,7.631170,3.797896,20720696
2002-11-21,7.796690,7.796690,7.548410,7.548410,3.756707,9451386
2002-11-22,7.741520,7.769110,7.603590,7.631170,3.797896,6584315
2002-11-25,7.769110,7.769110,7.520830,7.631170,3.797896,4984522
2002-11-26,7.548410,7.631170,7.296690,7.438070,3.701793,10307412
2002-11-27,7.324270,7.410480,7.241510,7.382890,3.674330,10589916
2002-11-28,7.382890,7.410480,7.158750,7.213920,3.590238,13146286
2002-11-29,7.213920,7.269100,7.075990,7.103580,3.535323,6646029
2002-12-02,7.103580,7.103580,7.103580,7.103580,3.535323,6960456
2002-12-03,7.075990,7.351860,7.075990,7.324270,3.645156,7216359
2002-12-04,7.241510,7.324270,7.131160,7.158750,3.562781,12253552
2002-12-05,7.158750,7.296690,7.103580,7.213920,3.590238,15363226
2002-12-06,7.158750,7.241510,7.131160,7.158750,3.562781,3795132
2002-12-09,7.296690,7.493240,7.213920,7.351860,3.658888,27514631
2002-12-10,7.382890,7.465650,7.241510,7.465650,3.715518,26007940
2002-12-11,7.493240,7.741520,7.465650,7.520830,3.742981,28851071
2002-12-12,7.576000,7.631170,7.438070,7.603590,3.784169,23228654
2002-12-13,7.548410,7.603590,7.296690,7.382890,3.674330,16301713
2002-12-16,7.410480,7.520830,7.382890,7.465650,3.715518,8885313
2002-12-17,7.548410,7.548410,7.351860,7.410480,3.688062,22722700
2002-12-18,7.493240,7.493240,7.351860,7.410480,3.688062,27737016
2002-12-19,7.410480,7.576000,7.351860,7.548410,3.756707,14660424
2002-12-20,7.576000,7.879450,7.576000,7.658760,3.811626,35629045
2002-12-23,7.879450,8.186360,7.851870,8.076010,4.019285,14106056
2002-12-24,8.076010,8.076010,7.879450,7.934630,3.948922,20568008
2002-12-25,7.934630,8.020840,7.686350,7.713930,3.839083,18858086
2002-12-26,7.713930,7.851870,7.658760,7.851870,3.907734,15178082
2002-12-27,7.965660,8.076010,7.851870,7.851870,3.907734,9861044
2002-12-30,7.907040,8.076010,7.879450,7.907040,3.935191,12943586
2002-12-31,7.934630,7.965660,7.713930,7.851870,3.907734,16899174
2003-01-01,7.851870,7.851870,7.851870,7.851870,3.907734,11945511
2003-01-02,7.796690,8.351880,7.713930,8.241530,4.101661,6722109
2003-01-03,8.324290,8.407050,8.076010,8.131180,4.046741,18215400
2003-01-06,8.131180,8.269120,8.048420,8.158770,4.060472,8762950
2003-01-07,8.241530,8.269120,7.934630,8.048420,4.005552,10719730
2003-01-08,8.020840,8.296700,7.934630,8.186360,4.074204,9027364
2003-01-09,8.213940,8.296700,7.934630,7.934630,3.948922,10787295
2003-01-10,8.048420,8.269120,7.907040,8.269120,4.115392,17941410
2003-01-13,8.324290,8.434640,8.269120,8.407050,4.184036,11204403
2003-01-14,8.434640,8.548430,8.213940,8.324290,4.142848,17443967
2003-01-15,8.351880,8.379460,8.186360,8.324290,4.142848,20293481
2003-01-16,8.324290,8.603610,8.324290,8.324290,4.142848,15087105
2003-01-17,8.351880,8.407050,8.213940,8.213940,4.087929,13151074
2003-01-20,8.324290,8.462220,8.296700,8.462220,4.211494,9773259
2003-01-21,8.462220,8.576020,8.379460,8.379460,4.170306,20230172
2003-01-22,8.351880,8.741540,8.296700,8.686370,4.323050,28506320
2003-01-23,8.631190,8.879470,8.576020,8.824300,4.391695,21134611
2003-01-24,8.934650,9.213960,8.769130,8.879470,4.419152,20199314
2003-01-27,8.769130,8.824300,8.407050,8.489810,4.225225,13889522
2003-01-28,8.462220,8.576020,8.351880,8.489810,4.225225,8879994
2003-01-29,8.489810,8.489810,8.489810,8.489810,4.225225,5134020
2003-01-30,8.489810,8.489810,8.489810,8.489810,4.225225,7796795
2003-01-31,8.489810,8.489810,8.489810,8.489810,4.225225,4851611
2003-02-03,8.489810,8.489810,8.489810,8.489810,4.225225,20247195
2003-02-04,8.489810,8.489810,8.489810,8.489810,4.225225,156968054
2003-02-05,8.489810,8.489810,8.489810,8.489810,4.225225,31649511
2003-02-06,8.489810,8.489810,8.186360,8.186360,4.074204,254956043
2003-02-07,8.186360,8.269120,7.658760,7.851870,3.907734,15036565
2003-02-10,7.851870,7.993250,7.686350,7.769110,3.866546,16770426
2003-02-11,7.824280,7.907040,7.769110,7.769110,3.866546,12513709
2003-02-12,7.879450,8.076010,7.851870,7.934630,3.948922,110570331
2003-02-13,7.934630,7.934630,7.769110,7.851870,3.907734,6728492
2003-02-14,7.965660,7.993250,7.824280,7.993250,3.978096,43489685
2003-02-17,8.103600,8.324290,8.076010,8.324290,4.142848,19870524
2003-02-18,8.379460,8.434640,8.213940,8.241530,4.101661,12055106
2003-02-19,8.324290,8.324290,8.076010,8.131180,4.046741,26622961
2003-02-20,8.158770,8.213940,8.076010,8.103600,4.033015,3783161
2003-02-21,8.103600,8.158770,7.965660,7.965660,3.964365,3145787
2003-02-24,7.993250,8.048420,7.851870,7.965660,3.964365,14074667
2003-02-25,7.824280,7.851870,7.713930,7.713930,3.839083,13626170
2003-02-26,7.769110,7.769110,7.603590,7.658760,3.811626,9604610
2003-02-27,7.631170,7.851870,7.576000,7.741520,3.852815,187325282
2003-02-28,7.741520,7.741520,7.741520,7.741520,3.852815,10717070
2003-03-03,7.796690,7.907040,7.769110,7.796690,3.880272,60347364
2003-03-04,7.796690,7.851870,7.769110,7.851870,3.907734,3553911
2003-03-05,7.796690,7.851870,7.741520,7.741520,3.852815,10890507
2003-03-06,7.769110,7.879450,7.741520,7.851870,3.907734,14565723
2003-03-07,7.824280,7.965660,7.741520,7.907040,3.935191,20720696
2003-03-10,7.907040,7.965660,7.851870,7.965660,3.964365,9451386
2003-03-11,7.851870,7.879450,7.410480,7.520830,3.742981,6584315
2003-03-12,7.493240,7.548410,7.351860,7.493240,3.729250,4984522
2003-03-13,7.493240,7.713930,7.438070,7.686350,3.825357,10307412
2003-03-14,7.907040,7.934630,7.769110,7.907040,3.935191,10589916
2003-03-17,7.879450,7.879450,7.576000,7.576000,3.770438,13146286
2003-03-18,7.796690,7.934630,7.769110,7.907040,3.935191,6646029
2003-03-19,7.796690,7.879450,7.769110,7.796690,3.880272,6960456
2003-03-20,7.851870,8.103600,7.796690,8.103600,4.033015,7216359
2003-03-21,8.103600,8.186360,7.993250,8.076010,4.019285,12253552
2003-03-24,8.131180,8.131180,7.851870,7.907040,3.935191,15363226
2003-03-25,7.769110,7.824280,7.769110,7.769110,3.866546,3795132
2003-03-26,7.824280,7.907040,7.769110,7.907040,3.935191,27514631
2003-03-27,7.879450,8.020840,7.824280,7.965660,3.964365,26007940
2003-03-28,7.993250,7.993250,7.851870,7.879450,3.921459,28851071
2003-03-31,7.879450,7.879450,7.576000,7.631170,3.797896,23228654
2003-04-01,7.603590,7.713930,7.603590,7.713930,3.839083,16301713
2003-04-02,7.713930,7.741520,7.631170,7.631170,3.797896,8885313
2003-04-03,7.713930,7.741520,7.631170,7.658760,3.811626,22722700
2003-04-04,7.658760,8.103600,7.658760,8.048420,4.005552,27737016
2003-04-07,8.020840,8.103600,7.965660,8.020840,3.991827,14660424
2003-04-08,8.020840,8.103600,7.658760,7.769110,3.866546,35629045
2003-04-09,7.769110,7.824280,7.658760,7.796690,3.880272,14106056
2003-04-10,7.769110,7.851870,7.741520,7.851870,3.907734,20568008
2003-04-11,7.824280,7.934630,7.824280,7.824280,3.894002,18858086
2003-04-14,7.769110,7.851870,7.741520,7.796690,3.880272,15178082
2003-04-15,7.824280,8.020840,7.796690,7.934630,3.948922,9861044
2003-04-16,8.020840,8.103600,7.993250,8.048420,4.005552,12943586
2003-04-17,8.020840,8.048420,7.824280,7.934630,3.948922,16899174
2003-04-18,7.934630,8.103600,7.934630,8.076010,4.019285,11945511
2003-04-21,8.076010,8.131180,8.020840,8.076010,4.019285,6722109
2003-04-22,8.048420,8.076010,7.907040,7.934630,3.948922,18215400
2003-04-23,7.934630,7.934630,7.796690,7.824280,3.894002,8762950
2003-04-24,7.851870,7.879450,7.631170,7.658760,3.811626,10719730
2003-04-25,7.576000,7.796690,7.548410,7.548410,3.756707,9027364
2003-04-28,7.520830,7.658760,7.382890,7.603590,3.784169,10787295
2003-04-29,7.686350,7.713930,7.493240,7.713930,3.839083,17941410
2003-04-30,7.658760,7.713930,7.548410,7.548410,3.756707,11204403
2003-05-01,7.548410,7.548410,7.548410,7.548410,3.756707,17443967
2003-05-02,7.631170,7.741520,7.576000,7.713930,3.839083,20293481
