Date,Open,High,Low,Close,Adj Close,Volume
2007-12-31,19.500000,20.000000,19.375000,19.750000,18.513683,1034348
2008-01-02,19.500000,20.000000,19.500000,19.950001,18.701166,1492400
2008-01-03,19.950001,20.000000,19.500000,19.825001,18.583990,986600
2008-01-04,19.750000,20.000000,19.750000,19.950001,18.701166,706400
2008-01-07,20.000000,20.000000,19.500000,19.950001,18.701166,866191
2008-01-08,19.750000,20.000000,19.750000,19.825001,18.583990,715600
2008-01-09,19.875000,20.000000,19.500000,19.900000,18.654293,1163933
2008-01-10,19.950001,20.250000,19.950001,20.125000,18.865210,821200
2008-01-11,20.125000,21.750000,19.750000,20.250000,18.982386,1270400
2008-01-14,20.500000,21.250000,20.375000,20.875000,19.568260,1255600
2008-01-15,20.875000,21.500000,20.250000,21.500000,20.154139,1748000
2008-01-16,21.250000,21.750000,20.000000,21.000000,19.685436,836400
2008-01-17,18.900000,21.500000,18.900000,21.000000,19.685436,322510
2008-01-18,21.000000,22.500000,20.000000,21.424999,20.083832,1758020
2008-01-21,21.625000,22.000000,21.250000,21.325001,19.990093,1194400
2008-01-22,17.500000,21.549999,17.500000,20.049999,18.794903,1007200
2008-01-23,25.000000,20.750000,20.000000,20.250000,18.982386,623660
2008-01-24,20.750000,21.375000,20.250000,21.000000,19.685436,991240
2008-01-25,20.875000,21.250000,20.500000,21.000000,19.685436,505600
2008-01-28,21.000000,21.250000,20.500000,20.750000,19.451086,430000
2008-01-29,21.250000,21.500000,20.000000,21.500000,20.154139,1214440
2008-01-30,20.750000,21.625000,20.000000,21.500000,20.154139,543600
2008-01-31,21.750000,22.250000,20.000000,21.750000,20.388489,812216
2008-02-01,21.500000,24.500000,21.500000,22.500000,21.091539,943600
2008-02-12,22.500000,25.000000,22.500000,24.250000,22.731993,1344000
2008-02-13,24.250000,25.000000,23.500000,23.750000,22.263292,1230082
2008-02-14,24.275000,25.000000,22.500000,24.000000,22.497643,1621400
2008-02-15,22.500000,24.049999,22.500000,22.625000,21.208715,1602800
2008-02-18,22.750000,23.250000,22.500000,22.674999,21.255583,1076000
2008-02-19,22.500000,23.125000,22.500000,22.725000,21.302456,1140000
2008-02-20,25.000000,24.500000,22.375000,22.500000,21.091539,2484400
2008-02-21,22.500000,22.625000,22.250000,22.450001,21.044670,1148240
2008-02-22,22.500000,24.250000,22.250000,22.325001,20.927496,605354
2008-02-25,22.549999,22.575001,21.250000,22.500000,21.091539,864599
2008-02-26,22.500000,22.750000,22.375000,22.500000,21.091539,1196122
2008-02-27,22.575001,22.750000,22.250000,22.250000,20.857189,1176408
2008-02-29,22.775000,22.775000,22.000000,22.750000,21.325890,508400
2008-03-03,22.750000,22.750000,22.424999,22.600000,21.185280,604800
2008-03-04,22.500000,22.750000,22.424999,22.549999,21.138409,1715200
2008-03-05,22.500000,22.750000,21.650000,22.525000,21.114973,662800
2008-03-06,22.750000,22.750000,21.875000,22.625000,21.208715,951179
2008-03-07,22.625000,23.450001,22.375000,22.549999,21.138409,766400
2008-03-10,22.600000,22.750000,22.424999,22.625000,21.208715,1156400
2008-03-11,22.500000,25.000000,22.424999,22.625000,21.208715,772400
2008-03-12,22.625000,25.000000,22.500000,22.525000,21.114973,1842800
2008-03-13,22.549999,22.750000,22.000000,22.500000,21.091539,467600
2008-03-14,22.750000,23.250000,22.250000,22.549999,21.138409,547262
2008-03-17,22.549999,23.750000,22.250000,22.250000,20.857189,1257200
2008-03-18,22.650000,22.650000,22.250000,22.575001,21.161846,1258000
2008-03-19,22.575001,24.100000,22.424999,22.575001,21.161846,1136000
2008-03-20,22.575001,23.750000,22.450001,22.575001,21.161846,523200
2008-03-21,22.575001,23.375000,22.000000,22.549999,21.138409,1526000
2008-03-24,23.750000,24.125000,22.500000,23.000000,21.560242,2029927
2008-03-25,23.250000,23.549999,22.350000,23.000000,21.560242,1522812
2008-03-26,23.000000,23.000000,22.500000,22.875000,21.443066,865188
2008-03-27,22.750000,23.250000,22.500000,22.700001,21.279020,1014189
2008-03-28,22.500000,23.250000,21.250000,22.674999,21.255583,1127493
2008-03-31,22.625000,23.750000,21.250000,22.625000,21.208715,851594
2008-04-01,22.750000,23.000000,21.250000,22.625000,21.208715,1002000
2008-04-02,22.750000,25.000000,22.500000,22.549999,21.138409,1023688
2008-04-03,22.625000,22.750000,22.500000,22.625000,21.208715,601200
2008-04-07,22.625000,22.875000,22.500000,22.750000,21.325890,738800
2008-04-08,23.000000,23.250000,22.125000,22.950001,21.513371,757000
2008-04-09,22.500000,23.000000,22.500000,22.875000,21.443066,432000
2008-04-10,22.875000,23.000000,22.500000,22.875000,21.443066,669965
2008-04-11,23.000000,23.250000,22.500000,22.750000,21.325890,671708
2008-04-14,22.875000,23.900000,22.500000,23.250000,21.794590,2706742
2008-04-15,23.375000,23.750000,22.924999,23.299999,21.841461,2315294
2008-04-16,23.375000,23.375000,22.500000,23.325001,21.864897,2765982
2008-04-17,23.250000,25.000000,23.000000,23.750000,22.263292,4855681
2008-04-18,23.875000,24.000000,22.625000,23.500000,22.028940,17588400
2008-04-21,24.000000,24.825001,23.250000,24.000000,22.497643,7692840
2008-04-22,24.125000,25.250000,22.500000,25.250000,23.669395,7435400
2008-04-23,25.250000,25.750000,22.900000,25.000000,23.435043,12195800
2008-04-24,25.000000,31.250000,18.450001,25.250000,23.669395,13260462
2008-04-25,25.250000,27.500000,23.250000,25.725000,24.114660,15958866
2008-04-28,25.750000,26.500000,23.275000,25.750000,24.138094,6633991
2008-04-29,25.750000,26.500000,23.000000,25.125000,23.552219,2001101
2008-04-30,24.500000,25.625000,24.500000,25.000000,23.435043,2400980
2008-05-02,24.750000,26.250000,23.200001,24.924999,23.364737,2416000
2008-05-05,25.000000,25.000000,22.500000,24.625000,23.083517,1844200
2008-05-06,24.500000,25.000000,23.750000,24.125000,22.614819,1263480
2008-05-07,24.500000,24.500000,23.750000,24.049999,22.544512,1137601
2008-05-08,24.000000,25.000000,23.549999,24.250000,22.731993,1064400
2008-05-09,24.125000,24.500000,23.750000,24.000000,22.497643,1053200
2008-05-12,24.350000,24.350000,23.924999,24.125000,22.614819,626000
2008-05-13,24.250000,24.500000,23.900000,24.200001,22.685123,627600
2008-05-14,24.200001,24.299999,23.875000,23.924999,22.427336,664000
2008-05-15,24.250000,25.000000,23.924999,24.250000,22.731993,519200
2008-05-16,24.150000,25.125000,23.750000,24.424999,22.896038,1495923
2008-05-19,24.375000,25.000000,24.250000,24.525000,22.989779,1397520
2008-05-20,24.549999,25.000000,24.250000,24.500000,22.966343,903355
2008-05-21,24.750000,25.000000,24.400000,24.525000,22.989779,503200
2008-05-22,24.250000,24.750000,23.750000,24.525000,22.989779,796400
2008-05-23,24.500000,24.750000,24.375000,24.549999,23.013212,1362400
2008-05-26,24.625000,24.750000,24.125000,24.250000,22.731993,1617982
2008-05-27,24.250000,24.500000,23.750000,23.900000,22.403902,1371180
2008-05-28,24.750000,25.000000,23.250000,24.250000,22.731993,1431200
2008-05-29,24.025000,24.674999,23.750000,24.674999,23.130388,1844840
2008-05-30,24.375000,24.674999,23.750000,24.000000,22.497643,2307240
2008-06-02,24.500000,25.000000,20.000000,24.500000,22.966343,2514125
2008-06-03,24.174999,26.250000,23.924999,24.075001,22.567947,2059600
2008-06-04,24.250000,24.500000,22.500000,24.075001,22.567947,1087282
2008-06-05,24.000000,24.375000,23.625000,23.625000,22.146116,981481
2008-06-06,23.950001,24.000000,23.500000,23.750000,22.263292,526640
2008-06-09,23.750000,24.000000,22.500000,23.750000,22.263292,1296927
2008-06-10,23.875000,24.625000,22.500000,24.625000,23.083517,1053265
2008-06-11,23.750000,24.625000,23.424999,23.750000,22.263292,857600
2008-06-12,23.750000,23.750000,22.325001,22.750000,21.325890,1694632
2008-06-13,23.750000,23.750000,22.500000,22.924999,21.489935,535600
2008-06-16,23.000000,23.625000,21.250000,23.299999,21.841461,416800
2008-06-17,23.250000,23.500000,22.950001,23.250000,21.794590,254800
2008-06-18,23.375000,23.750000,23.250000,23.400000,21.935200,523200
2008-06-19,23.250000,23.750000,23.000000,23.250000,21.794590,791600
2008-06-20,23.250000,23.375000,22.500000,22.825001,21.396194,808800
2008-06-23,23.000000,23.750000,21.275000,22.750000,21.325890,555600
2008-06-24,22.700001,23.125000,22.250000,22.750000,21.325890,793965
2008-06-25,22.875000,22.875000,22.500000,22.750000,21.325890,758400
2008-06-26,22.750000,22.875000,22.674999,22.850000,21.419632,557000
2008-06-27,22.500000,23.000000,21.225000,22.500000,21.091539,852966
2008-06-30,22.500000,22.750000,22.125000,22.250000,20.857189,692555
2008-07-01,22.250000,22.575001,21.750000,22.000000,20.622837,588840
2008-07-02,22.000000,22.500000,21.174999,21.174999,19.849482,1599360
2008-07-03,21.250000,21.750000,20.250000,21.000000,19.685436,2699200
2008-07-04,21.500000,22.500000,20.750000,21.000000,19.685436,656120
2008-07-07,21.125000,21.250000,20.500000,20.674999,19.380781,1029248
2008-07-08,20.875000,21.250000,20.000000,20.250000,18.982386,1103694
2008-07-09,20.674999,20.750000,19.900000,20.200001,18.935516,1071200
2008-07-10,20.000000,20.375000,19.750000,20.250000,18.982386,1732000
2008-07-11,20.250000,25.000000,19.850000,20.000000,18.748035,979200
2008-07-14,20.000000,20.250000,19.799999,20.000000,18.748035,491200
2008-07-15,20.000000,20.000000,19.250000,19.625000,18.396509,1000760
2008-07-16,19.775000,20.000000,18.625000,18.750000,17.576283,1137252
2008-07-17,19.250000,20.000000,18.625000,19.000000,17.810633,1598400
2008-07-18,20.000000,20.000000,18.750000,18.924999,17.740326,1189600
2008-07-21,19.250000,20.500000,18.750000,19.875000,18.630859,812800
2008-07-22,20.000000,20.250000,19.625000,19.750000,18.513683,764000
2008-07-23,20.000000,20.500000,19.750000,20.000000,18.748035,1052000
2008-07-24,20.000000,25.049999,19.750000,20.000000,18.748035,1407216
2008-07-25,19.875000,20.250000,19.674999,20.000000,18.748035,749338
2008-07-28,null,null,null,null,null,null
2008-07-29,null,null,null,null,null,null
2008-07-30,null,null,null,null,null,null
2008-07-31,null,null,null,null,null,null
2008-08-01,null,null,null,null,null,null
2008-08-04,null,null,null,null,null,null
2008-08-05,null,null,null,null,null,null
2008-08-06,null,null,null,null,null,null
2008-08-07,null,null,null,null,null,null
2008-08-08,null,null,null,null,null,null
2008-08-11,null,null,null,null,null,null
2008-08-12,null,null,null,null,null,null
2008-08-13,null,null,null,null,null,null
2008-08-14,null,null,null,null,null,null
2008-08-15,null,null,null,null,null,null
2008-08-18,20.299999,20.875000,20.000000,20.500000,19.216736,758840
2008-08-19,19.500000,20.500000,19.424999,19.750000,18.513683,809051
2008-08-20,19.750000,20.000000,19.424999,19.625000,18.396509,1188083
2008-08-21,19.750000,20.000000,19.375000,19.750000,18.513683,1186803
2008-08-22,19.500000,23.325001,19.250000,20.000000,18.748035,345860
2008-08-25,20.000000,20.750000,19.125000,20.000000,18.748035,2150400
2008-08-26,20.000000,20.000000,18.750000,18.750000,17.576283,2305822
2008-08-27,19.150000,19.500000,18.750000,19.125000,17.927809,483800
2008-08-28,19.500000,19.750000,19.125000,19.500000,18.279335,207600
2008-08-29,19.375000,19.750000,18.924999,19.125000,17.927809,818956
2008-09-01,20.000000,20.000000,17.500000,19.200001,17.998114,1530820
2008-09-02,18.850000,19.250000,18.700001,18.850000,17.670023,382840
2008-09-03,19.000000,19.125000,18.500000,18.750000,17.576283,454646
2008-09-04,18.750000,18.875000,18.250000,18.375000,17.224756,435440
2008-09-05,18.000000,18.625000,18.000000,18.000000,16.873232,689284
2008-09-08,18.750000,18.750000,17.750000,18.375000,17.224756,1096707
2008-09-09,18.500000,18.500000,17.625000,17.674999,16.568577,727200
2008-09-10,17.750000,18.750000,17.500000,17.750000,16.638882,658288
2008-09-11,18.000000,18.750000,17.375000,17.500000,16.404530,833280
2008-09-12,17.500000,17.750000,17.000000,17.500000,16.404530,475600
2008-09-15,17.500000,18.750000,16.000000,16.375000,15.349954,792873
2008-09-16,15.750000,20.000000,14.500000,14.925000,13.990722,1030773
2008-09-17,15.250000,15.625000,15.000000,15.150000,14.201636,526835
2008-09-18,15.000000,15.275000,13.750000,14.250000,13.357975,842000
2008-09-19,14.625000,18.875000,13.150000,15.375000,14.412552,652800
2008-09-22,15.500000,17.500000,15.500000,16.000000,14.998428,572000
2008-09-23,16.250000,19.225000,15.000000,15.750000,14.764077,670331
2008-09-24,15.425000,16.500000,15.000000,15.500000,14.529727,556800
2008-09-25,15.500000,15.625000,15.000000,15.375000,14.412552,373452
2008-09-26,15.500000,15.750000,15.000000,15.125000,14.178201,767600
2008-09-29,null,null,null,null,null,null
2008-09-30,15.300000,15.300000,13.750000,14.525000,13.615760,429400
2008-10-01,14.750000,15.250000,13.750000,15.000000,14.061027,403200
2008-10-02,15.000000,15.500000,14.500000,15.000000,14.061027,479400
2008-10-03,15.000000,15.125000,14.500000,15.000000,14.061027,474851
2008-10-06,14.750000,15.125000,14.500000,14.925000,13.990722,586400
2008-10-07,15.000000,15.075000,14.500000,15.000000,14.061027,663200
2008-10-08,14.925000,15.075000,14.250000,14.625000,13.709500,433200
2008-10-09,14.750000,15.000000,14.000000,14.500000,13.592326,682400
2008-10-13,14.750000,14.750000,12.500000,14.250000,13.357975,556400
2008-10-14,14.500000,15.050000,14.250000,15.050000,14.107896,365202
2008-10-15,15.000000,15.050000,14.500000,14.750000,13.826675,294800
2008-10-16,14.750000,17.625000,14.300000,14.500000,13.592326,471400
2008-10-17,14.650000,14.875000,13.750000,14.250000,13.357975,435600
2008-10-20,13.900000,14.250000,13.700000,13.750000,12.889275,492963
2008-10-21,14.000000,14.250000,13.625000,13.875000,13.006450,896800
2008-10-22,13.825000,14.250000,13.500000,13.625000,12.772099,459000
2008-10-23,13.750000,13.750000,12.425000,12.750000,11.951872,675542
2008-10-24,12.750000,12.900000,12.250000,12.375000,11.600347,879746
2008-10-27,12.500000,12.550000,11.675000,12.250000,11.483171,1374800
2008-10-28,11.300000,13.850000,11.300000,12.250000,11.483171,568000
2008-10-29,12.475000,14.000000,12.000000,12.000000,11.248821,502400
2008-10-30,12.425000,15.000000,12.050000,12.500000,11.717522,718400
2008-10-31,12.500000,14.800000,12.375000,13.000000,12.186223,1099281
2008-11-03,15.000000,15.000000,12.500000,13.000000,12.186223,1230855
2008-11-04,13.125000,13.250000,12.375000,12.525000,11.740956,1085200
2008-11-05,12.500000,12.750000,12.250000,12.250000,11.483171,814888
2008-11-06,12.500000,12.550000,12.000000,12.125000,11.365996,809192
2008-11-07,12.500000,12.500000,11.250000,12.375000,11.600347,709602
2008-11-10,12.250000,12.600000,11.925000,12.000000,11.248821,1036400
2008-11-11,12.250000,12.325000,11.700000,11.750000,11.014470,1183200
2008-11-12,11.850000,11.850000,11.250000,11.375000,10.662945,1134203
2008-11-13,11.500000,11.500000,10.000000,10.800000,10.123940,848804
2008-11-14,10.750000,11.250000,10.450000,10.550000,9.889588,821200
2008-11-17,10.500000,12.300000,9.250000,10.625000,9.959893,682000
2008-11-18,10.625000,10.625000,9.875000,10.000000,9.374018,964800
2008-11-19,10.000000,10.750000,9.750000,9.875000,9.256842,760618
2008-11-20,9.750000,10.250000,9.300000,10.000000,9.374018,627200
2008-11-21,10.000000,10.250000,9.800000,10.000000,9.374018,1017059
2008-11-24,10.000000,10.525000,9.975000,10.375000,9.725543,472400
2008-11-25,10.500000,12.300000,10.000000,11.950000,11.201951,1269283
2008-11-26,12.000000,12.375000,11.300000,11.950000,11.201951,1088400
2008-11-27,12.000000,15.050000,11.250000,12.200000,11.436301,857162
2008-11-28,12.250000,13.750000,11.500000,12.075000,11.319126,513600
2008-12-01,12.000000,13.000000,12.000000,12.500000,11.717522,759509
2008-12-02,12.500000,12.500000,11.500000,11.625000,10.897295,578400
2008-12-03,12.125000,12.125000,9.250000,11.500000,10.780121,621998
2008-12-04,11.625000,11.750000,11.375000,11.500000,10.780121,605778
2008-12-05,11.750000,11.750000,10.950000,10.950000,10.264549,558801
2008-12-08,11.250000,11.500000,10.950000,11.250000,10.545770,506800
2008-12-09,11.625000,11.625000,10.750000,11.000000,10.311419,710040
2008-12-10,10.000000,11.125000,10.000000,10.450000,9.795849,609297
2008-12-11,11.250000,11.250000,10.200000,10.250000,9.608368,768400
2008-12-12,10.450000,10.500000,9.700000,10.000000,9.374018,579273
2008-12-15,7.500000,10.500000,7.500000,10.250000,9.608368,762198
2008-12-16,10.125000,10.500000,9.875000,10.125000,9.491193,112400
2008-12-17,10.375000,10.750000,10.125000,10.250000,9.608368,581200
2008-12-18,10.500000,10.500000,10.000000,10.050000,9.420888,481600
2008-12-19,10.250000,10.500000,9.500000,10.500000,9.842718,596800
2008-12-22,10.500000,10.500000,10.000000,10.250000,9.608368,506800
2008-12-23,10.000000,10.500000,9.875000,9.950000,9.327147,480800
2008-12-24,10.125000,10.250000,9.975000,10.000000,9.374018,184800
2008-12-25,10.000000,10.250000,9.950000,10.125000,9.491193,534000
2008-12-26,10.000000,10.250000,9.750000,10.250000,9.608368,415601
2008-12-29,10.000000,10.500000,9.975000,10.050000,9.420888,655680
2008-12-30,10.250000,10.300000,10.000000,10.000000,9.374018,459200
2008-12-31,10.000000,10.250000,9.925000,9.925000,9.303713,437195
2009-01-02,null,null,null,null,null,null
2009-01-05,10.125000,10.500000,10.000000,10.250000,9.608368,581200
2009-01-06,10.250000,10.375000,10.000000,10.000000,9.374018,431076
2009-01-07,10.250000,10.750000,10.000000,10.175000,9.538063,740405
2009-01-08,10.200000,10.375000,10.000000,10.050000,9.420888,590000
2009-01-09,10.100000,10.350000,10.000000,10.200000,9.561498,557646
2009-01-12,9.950000,10.125000,9.950000,10.025000,9.397451,342400
2009-01-13,10.075000,10.125000,9.875000,10.125000,9.491193,425600
2009-01-14,10.125000,10.125000,9.875000,10.075000,9.444323,1031148
2009-01-15,10.025000,10.150000,9.925000,10.050000,9.420888,813455
2009-01-16,10.000000,10.000000,10.000000,10.000000,9.374018,220000
2009-01-19,10.000000,12.500000,9.875000,9.950000,9.327147,959600
2009-01-20,9.950000,10.050000,9.750000,9.875000,9.256842,794867
2009-01-21,10.000000,10.000000,9.650000,9.875000,9.256842,1096800
2009-02-02,10.000000,10.000000,9.625000,9.750000,9.139668,974800
2009-02-03,9.875000,10.000000,9.750000,9.750000,9.139668,548400
2009-02-04,9.750000,9.875000,9.700000,9.750000,9.139668,575680
2009-02-05,9.750000,9.875000,9.700000,9.750000,9.139668,364000
2009-02-06,9.875000,9.900000,9.475000,9.750000,9.139668,2299280
2009-02-09,9.750000,9.950000,9.700000,9.800000,9.186537,602801
2009-02-10,9.875000,9.875000,9.700000,9.750000,9.139668,181600
2009-02-11,10.000000,10.000000,9.500000,9.750000,9.139668,1536111
2009-02-12,10.000000,10.000000,9.700000,9.750000,9.139668,433600
