Date,Open,High,Low,Close,Adj Close,Volume
2000-05-15,11.773800,11.773800,11.555600,11.610200,5.173871,5590702079
2000-05-16,11.610200,11.664700,11.446500,11.555600,5.149539,7443477556
2000-05-17,11.664700,11.991900,11.664700,11.991900,5.343968,14214679261
2000-05-18,11.937400,12.319200,11.882800,11.882800,5.295350,19053766665
2000-05-19,11.991900,12.210100,11.882800,11.991900,5.343968,13250410897
2000-05-22,11.773800,11.882800,11.555600,11.555600,5.149539,5274950017
2000-05-23,11.555600,11.664700,11.446500,11.446500,5.100920,5839144708
2000-05-24,11.555600,11.555600,11.337500,11.337500,5.052346,6977125623
2000-05-25,11.446500,11.555600,11.337500,11.337500,5.052346,5692456846
2000-05-26,11.337500,11.664700,11.337500,11.555600,5.149539,8973735997
2000-05-29,11.610200,11.664700,11.501100,11.610200,5.173871,7195844612
2000-05-30,11.610200,11.610200,11.610200,11.610200,5.173871,0
2000-05-31,11.664700,11.719200,11.446500,11.555600,5.149539,8253713690
2000-06-01,11.555600,11.610200,11.392000,11.392000,5.076634,7532004540
2000-06-02,11.446500,11.555600,11.337500,11.337500,5.052346,8726840864
2000-06-05,11.446500,11.501100,11.337500,11.337500,5.052346,8175761011
2000-06-06,11.337500,11.337500,11.337500,11.337500,5.052346,0
2000-06-07,11.337500,11.446500,11.337500,11.337500,5.052346,5374950467
2000-06-08,11.446500,11.501100,11.337500,11.392000,5.076634,4197289138
2000-06-09,11.392000,11.392000,11.119300,11.173800,4.979397,7731921831
2000-06-12,11.173800,11.173800,10.901100,10.955700,4.882205,11981445894
2000-06-13,10.955700,11.119300,10.846600,10.846600,4.833587,7392234201
2000-06-14,10.955700,10.955700,10.792100,10.792100,4.809299,6174219189
2000-06-15,10.901100,10.901100,10.792100,10.846600,4.833587,3623964961
2000-06-16,10.846600,10.901100,10.792100,10.792100,4.809299,5591872602
2000-06-19,10.792100,11.010200,10.792100,10.846600,4.833587,5689351588
2000-06-20,10.901100,10.955700,10.846600,10.901100,4.857873,5680113556
2000-06-21,10.955700,10.955700,10.846600,10.846600,4.833587,7520202507
2000-06-22,10.792100,10.955700,10.792100,10.955700,4.882205,9215520729
2000-06-23,10.955700,11.173800,10.901100,11.119300,4.955111,15155258482
2000-06-26,11.119300,11.173800,10.901100,10.955700,4.882205,7721357794
2000-06-27,10.955700,11.119300,10.846600,10.846600,4.833587,9542338481
2000-06-28,10.901100,11.010200,10.683000,10.737500,4.784968,9151740465
2000-06-29,10.846600,10.901100,10.246700,10.246700,4.566253,7445151197
2000-06-30,10.464800,10.519400,10.246700,10.464800,4.663445,7524629369
2000-07-03,10.628400,11.173800,10.464800,11.173800,4.979397,33615769820
2000-07-04,11.119300,11.501100,11.010200,11.119300,4.955111,37672709226
2000-07-05,11.228400,11.882800,11.173800,11.882800,5.295350,54252729525
2000-07-06,11.882800,12.428300,11.882800,11.991900,5.343968,70095681602
2000-07-07,12.046500,12.046500,11.555600,11.664700,5.198157,24955852617
2000-07-10,11.773800,11.882800,11.610200,11.664700,5.198157,22914850404
2000-07-11,11.664700,11.882800,11.446500,11.773800,5.246776,22949388147
2000-07-12,11.773800,11.773800,11.010200,11.064700,4.930779,21165647084
2000-07-13,11.064700,11.337500,10.901100,11.337500,5.052346,22941200358
2000-07-14,11.228400,11.991900,11.228400,11.773800,5.246776,40684897324
2000-07-17,12.101000,12.101000,11.664700,11.773800,5.246776,32034391237
2000-07-18,11.773800,11.773800,11.337500,11.392000,5.076634,17017817647
